2019-08-28 06:36:57,537 - processing - INFO - weather variables: ['88101', 'PRESS', 'RH_DP', 'TEMP', 'WIND']
2019-08-28 06:36:57,537 - processing - INFO - nhis variables: ['person']
2019-08-28 06:36:57,537 - processing - INFO - processing started: 2019-08-28 06:36:57.537897
2019-08-28 06:36:57,537 - processing - INFO - weather files for 2014: ['data\\daily_88101_2014.json', 'data\\daily_PRESS_2014.zip', 'data\\daily_RH_DP_2014.zip', 'data\\daily_TEMP_2014.zip', 'data\\daily_WIND_2014.zip']
2019-08-28 06:37:15,614 - processing - INFO - 88101 shape: (368522, 29)
2019-08-28 06:37:15,614 - processing - INFO - PRESS shape: (112870, 29)
2019-08-28 06:37:15,614 - processing - INFO - RH_DP shape: (155120, 29)
2019-08-28 06:37:15,614 - processing - INFO - TEMP shape: (293793, 29)
2019-08-28 06:37:15,614 - processing - INFO - WIND shape: (469377, 29)
2019-08-28 06:37:16,466 - processing - INFO - df shape: (1262200, 29)
2019-08-28 06:37:18,835 - processing - INFO - df_month shape: (225314, 7)
2019-08-28 06:37:18,960 - processing - INFO - making dates offset
2019-08-28 06:37:18,976 - processing - INFO - order columns for as in data model
2019-08-28 06:37:18,976 - processing - INFO - created month table
2019-08-28 06:37:18,976 - processing - INFO - states shape: (54, 3)
2019-08-28 06:37:18,976 - processing - INFO - counties shape: (784, 3)
2019-08-28 06:37:18,976 - processing - INFO - months shape: (8989, 11)
2019-08-28 06:37:23,878 - processing - INFO - weather files for 2015: ['data\\daily_88101_2015.json', 'data\\daily_PRESS_2015.zip', 'data\\daily_RH_DP_2015.zip', 'data\\daily_TEMP_2015.zip', 'data\\daily_WIND_2015.zip']
2019-08-28 06:37:42,332 - processing - INFO - 88101 shape: (390575, 29)
2019-08-28 06:37:42,332 - processing - INFO - PRESS shape: (114961, 29)
2019-08-28 06:37:42,332 - processing - INFO - RH_DP shape: (157853, 29)
2019-08-28 06:37:42,332 - processing - INFO - TEMP shape: (287482, 29)
2019-08-28 06:37:42,332 - processing - INFO - WIND shape: (473436, 29)
2019-08-28 06:37:43,191 - processing - INFO - df shape: (1280672, 29)
2019-08-28 06:37:45,569 - processing - INFO - df_month shape: (227456, 7)
2019-08-28 06:37:45,700 - processing - INFO - making dates offset
2019-08-28 06:37:45,716 - processing - INFO - order columns for as in data model
2019-08-28 06:37:45,716 - processing - INFO - created month table
2019-08-28 06:37:45,716 - processing - INFO - states shape: (53, 3)
2019-08-28 06:37:45,716 - processing - INFO - counties shape: (785, 3)
2019-08-28 06:37:45,716 - processing - INFO - months shape: (9164, 11)
2019-08-28 06:37:50,492 - processing - INFO - nhis files for 2015: ['data\\personsx2015.zip']
2019-08-28 06:37:50,492 - processing - INFO - read csv within zip archive
2019-08-28 06:37:55,985 - processing - INFO - data loaded
2019-08-28 06:37:55,985 - processing - INFO - raw data shape: (103789, 606)
2019-08-28 06:37:56,686 - processing - INFO - quality filter
2019-08-28 06:37:56,686 - processing - INFO - get the child and adult problems, times and durations
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCC1', 'LCTIME1', 'LCUNIT1')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCC2', 'LCTIME2', 'LCUNIT2')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCC3', 'LCTIME3', 'LCUNIT3')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCC4', 'LCTIME4', 'LCUNIT4')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCC5', 'LCTIME5', 'LCUNIT5')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCC6', 'LCTIME6', 'LCUNIT6')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCC8', 'LCTIME8', 'LCUNIT8')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCC9', 'LCTIME9', 'LCUNIT9')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCC10', 'LCTIME10', 'LCUNIT10')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCC11', 'LCTIME11', 'LCUNIT11')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCC12', 'LCTIME12', 'LCUNIT12')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCC13', 'LCTIME13', 'LCUNIT13')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCC90', 'LCTIME90', 'LCUNIT90')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCC91', 'LCTIME91', 'LCUNIT91')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCC7A', 'LCTIME7A', 'LCUNIT7A')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA1', 'LATIME1', 'LAUNIT1')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA2', 'LATIME2', 'LAUNIT2')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA3', 'LATIME3', 'LAUNIT3')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA4', 'LATIME4', 'LAUNIT4')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA5', 'LATIME5', 'LAUNIT5')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA6', 'LATIME6', 'LAUNIT6')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA7', 'LATIME7', 'LAUNIT7')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA8', 'LATIME8', 'LAUNIT8')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA9', 'LATIME9', 'LAUNIT9')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA10', 'LATIME10', 'LAUNIT10')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA11', 'LATIME11', 'LAUNIT11')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA12', 'LATIME12', 'LAUNIT12')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA13', 'LATIME13', 'LAUNIT13')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA15', 'LATIME15', 'LAUNIT15')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA16', 'LATIME16', 'LAUNIT16')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA17', 'LATIME17', 'LAUNIT17')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA18', 'LATIME18', 'LAUNIT18')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA90', 'LATIME90', 'LAUNIT90')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA91', 'LATIME91', 'LAUNIT91')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA19_', 'LATIME19', 'LAUNIT19')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA20_', 'LATIME20', 'LAUNIT20')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA21_', 'LATIME21', 'LAUNIT21')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA22_', 'LATIME22', 'LAUNIT22')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA23_', 'LATIME23', 'LAUNIT23')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA24_', 'LATIME24', 'LAUNIT24')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA25_', 'LATIME25', 'LAUNIT25')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA26_', 'LATIME26', 'LAUNIT26')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA27_', 'LATIME27', 'LAUNIT27')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA28_', 'LATIME28', 'LAUNIT28')
2019-08-28 06:37:56,701 - processing - INFO - ('LAHCA29_', 'LATIME29', 'LAUNIT29')
2019-08-28 06:37:56,717 - processing - INFO - ('LAHCA30_', 'LATIME30', 'LAUNIT30')
2019-08-28 06:37:56,717 - processing - INFO - ('LAHCA31_', 'LATIME31', 'LAUNIT31')
2019-08-28 06:37:56,717 - processing - INFO - ('LAHCA32_', 'LATIME32', 'LAUNIT32')
2019-08-28 06:37:56,717 - processing - INFO - ('LAHCA33_', 'LATIME33', 'LAUNIT33')
2019-08-28 06:37:56,717 - processing - INFO - ('LAHCA34_', 'LATIME34', 'LAUNIT34')
2019-08-28 06:37:56,717 - processing - INFO - ('LAHCA14A', 'LTIME14A', 'LUNIT14A')
2019-08-28 06:37:56,717 - processing - INFO - calculate how far back the problems started
2019-08-28 06:38:10,216 - processing - INFO - calculate the start year and start month
2019-08-28 06:38:10,443 - processing - INFO - recode identical child/adult problems:
